timestamp,load
2000-01-01,40811.784478714806
2001-01-01,37725.29036860767
2002-01-01,39663.27332759649
2003-01-01,41759.74632431504
2004-01-01,43726.72752689093
2005-01-01,45708.35349098175
2006-01-01,47465.79938616781
2007-01-01,49724.93499668959
2008-01-01,51002.30278005476
2009-01-01,50592.30227565696
2010-01-01,54222.27613992224
2011-01-01,56075.56690460386
2012-01-01,58252.136646603576
2013-01-01,58768.76962619011
2014-01-01,61573.101092773766
2015-01-01,61365.5451976767
2016-01-01,61503.062837934645
2017-01-01,62686.065197530246
2018-01-01,63256.246797535285
2019-01-01,64582.03818519732
2020-01-01,63417.23465839224
2021-01-01,68518.25312876794
2022-01-01,68804.86165549507
