timestamp,load
2000-01-01,1216855.11041667
2000-02-01,1179296.5375000201
2000-03-01,1257237.97533289
2000-04-01,1206448.43750001
2000-05-01,1252659.85
2000-06-01,1216348.9333333
2000-07-01,1238910.34708335
2000-08-01,1273294.03333331
2000-09-01,1232252.14625003
2000-10-01,1319281.04679341
2000-11-01,1255871.58708328
2000-12-01,1288657.11458335
2001-01-01,1316395.66875003
2001-02-01,1225324.85958332
2001-03-01,1372435.34875001
2001-04-01,1286674.25083334
2001-05-01,1248899.28291665
2001-06-01,1020494.18499996
2001-07-01,1021283.67458332
2001-08-01,1048106.90291672
2001-09-01,1016883.73083335
2001-10-01,1071101.91704176
2001-11-01,1058314.68916667
2001-12-01,1083816.4741666699
2002-01-01,1131468.56416669
2002-02-01,1055413.90583332
2002-03-01,1238370.63958334
2002-04-01,1222222.62429159
2002-05-01,1213613.59112502
2002-06-01,1166289.99575337
2002-07-01,1198694.00883333
2002-08-01,1234543.47586669
2002-09-01,1186800.37166664
2002-10-01,1310863.6316193999
2002-11-01,1248599.18708336
2002-12-01,1270214.76874997
2003-01-01,1286107.53124996
2003-02-01,1218269.67208336
2003-03-01,1302507.4416666701
2003-04-01,1254066.96891664
2003-05-01,1262280.53595835
2003-06-01,1214867.31245833
2003-07-01,1255347.63500002
2003-08-01,1257510.08875002
2003-09-01,1255054.15666667
2003-10-01,1324150.57291669
2003-11-01,1288075.12937497
2003-12-01,1324070.36333331
2004-01-01,1312042.59366674
2004-02-01,1246513.88750005
2004-03-01,1372768.31001703
2004-04-01,1316365.42374998
2004-05-01,1324481.8354166201
2004-06-01,1278912.61016667
2004-07-01,1325504.29311666
2004-08-01,1349342.00420836
2004-09-01,1354235.54191664
2004-10-01,1378323.91791667
2004-11-01,1353479.97924998
2004-12-01,1392011.87791668
2005-01-01,1405092.30250001
2005-02-01,1288531.6545833
2005-03-01,1466932.08500002
2005-04-01,1412630.86374996
2005-05-01,1389738.22333332
2005-06-01,1345059.91816668
2005-07-01,1357097.90333335
2005-08-01,1410302.94020835
2005-09-01,1362282.56195832
2005-10-01,1437151.08508333
2005-11-01,1383085.06770835
2005-12-01,1425644.41858335
2006-01-01,1478702.48875003
2006-02-01,1364615.55075006
2006-03-01,1529728.8691667
2006-04-01,1399022.6108333
2006-05-01,1426856.28370119
2006-06-01,1381837.21958331
2006-07-01,1431836.81416664
2006-08-01,1478332.77333335
2006-09-01,1410361.95183332
2006-10-01,1476689.82716667
2006-11-01,1447052.46958334
2006-12-01,1499979.91708334
2007-01-01,1524251.67083334
2007-02-01,1397033.73416665
2007-03-01,1611729.76149992
2007-04-01,1503997.70916665
2007-05-01,1500115.27125001
2007-06-01,1433754.59229171
2007-07-01,1486345.20512504
2007-08-01,1524708.261
2007-09-01,1495716.1594583201
2007-10-01,1587598.26316666
2007-11-01,1517329.53750006
2007-12-01,1567021.10833334
2008-01-01,1577169.18333337
2008-02-01,1494612.82166667
2008-03-01,1610685.68875001
2008-04-01,1556080.93624997
2008-05-01,1548442.98429171
2008-06-01,1510841.08641667
2008-07-01,1565345.44912499
2008-08-01,1600435.42266668
2008-09-01,1551892.90958336
2008-10-01,1636758.76166659
2008-11-01,1524495.74541669
2008-12-01,1490081.82833333
2009-01-01,1512522.07337332
2009-02-01,1431134.15016667
2009-03-01,1629233.00470832
2009-04-01,1488473.45258332
2009-05-01,1507944.80491662
2009-06-01,1441471.09883336
2009-07-01,1521712.44749997
2009-08-01,1537436.72124997
2009-09-01,1542294.75186667
2009-10-01,1601155.36208333
2009-11-01,1619135.03749996
2009-12-01,1633677.42583328
2010-01-01,1678733.43585179
2010-02-01,1596452.76479166
2010-03-01,1761671.20999999
2010-04-01,1605002.9407917
2010-05-01,1632995.26688649
2010-06-01,1564800.3149999399
2010-07-01,1632119.39958335
2010-08-01,1645427.14541666
2010-09-01,1637130.19541669
2010-10-01,1672439.41291666
2010-11-01,1641672.67024998
2010-12-01,1722686.03416671
2011-01-01,1748892.55666671
2011-02-01,1653723.14505
2011-03-01,1761353.60221365
2011-04-01,1680599.40875001
2011-05-01,1681679.81041669
2011-06-01,1603893.54666667
2011-07-01,1670999.32708333
2011-08-01,1744627.00791667
2011-09-01,1690703.4849999999
2011-10-01,1743713.65041661
2011-11-01,1703538.13625005
2011-12-01,1783858.24375002
2012-01-01,1797323.3895417
2012-02-01,1781944.51924997
2012-03-01,1924145.83854166
2012-04-01,1780621.47983333
2012-05-01,1762278.51087503
2012-06-01,1626037.999574
2012-07-01,1682135.75029173
2012-08-01,1772342.595811
2012-09-01,1736056.47245831
2012-10-01,1843092.89099416
2012-11-01,1744172.1087777
2012-12-01,1870130.45670832
2013-01-01,1804332.3246249899
2013-02-01,1710479.90566668
2013-03-01,1863461.18199997
2013-04-01,1756466.19754169
2013-05-01,1741105.15923453
2013-06-01,1674875.61504166
2013-07-01,1755857.56
2013-08-01,1803552.84522599
2013-09-01,1772586.7679042
2013-10-01,1867654.5404725801
2013-11-01,1813648.27970839
2013-12-01,1827811.76651252
2014-01-01,2028085.6562523
2014-02-01,1819354.02450525
2014-03-01,1963126.82891541
2014-04-01,1826877.42683441
2014-05-01,1859469.92843731
2014-06-01,1745620.96770518
2014-07-01,1812792.74054976
2014-08-01,1823831.55265164
2014-09-01,1829260.48120522
2014-10-01,1933615.8012061
2014-11-01,1860301.76555277
2014-12-01,1910271.6239543
2015-01-01,2084131.54516652
2015-02-01,1843710.59541334
2015-03-01,2014486.89466615
2015-04-01,1781061.02285573
2015-05-01,1797411.44087444
2015-06-01,1703367.59137548
