timestamp,load
2000-01-01,14937113.11920962
2001-01-01,13769730.9845418
2002-01-01,14477094.76457272
2003-01-01,15242307.40837499
2004-01-01,16003982.27484208
2005-01-01,16683549.02420834
2006-01-01,17325016.77595125
2007-01-01,18149601.2737917
2008-01-01,18666842.81750004
2009-01-01,18466190.33061479
2010-01-01,19791130.79107162
2011-01-01,20467581.92018041
2012-01-01,21320282.01265691
2013-01-01,21391832.1439332
2014-01-01,22412608.79776965
2015-01-01,22337058.45195432
2016-01-01,21956593.43314267
2017-01-01,22880413.79709854
2018-01-01,23088530.08110038
2019-01-01,23572443.93759702
2020-01-01,23210707.88497156
2021-01-01,25009162.3920003
2022-01-01,25113774.5042557
