id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;SUDESTE;2023-01-27;43427.13133333
N;NORTE;2023-01-28;6173.59295833
NE;NORDESTE;2023-01-28;11318.94479167
S;SUL;2023-01-28;13487.18045833
SE;SUDESTE;2023-01-28;39905.54783333
N;NORTE;2023-01-29;5936.77137500
NE;NORDESTE;2023-01-29;10506.86258333
S;SUL;2023-01-29;11766.44158333
SE;SUDESTE;2023-01-29;36167.54483333
N;NORTE;2023-01-30;6349.95262500
NE;NORDESTE;2023-01-30;11851.30508333
S;SUL;2023-01-30;14482.80787500
SE;SUDESTE;2023-01-30;42179.79375000
N;NORTE;2023-01-31;6349.81662500
NE;NORDESTE;2023-01-31;11976.76170833
S;SUL;2023-01-31;15156.73308333
SE;SUDESTE;2023-01-31;43443.82704167
N;NORTE;2023-02-01;6339.07500000
NE;NORDESTE;2023-02-01;11993.14170833
S;SUL;2023-02-01;15286.28491667
SE;SUDESTE;2023-02-01;43896.91879167
N;NORTE;2023-02-02;6309.52425000
NE;NORDESTE;2023-02-02;12160.05291667
S;SUL;2023-02-02;15305.78762500
SE;SUDESTE;2023-02-02;44497.70650000
N;NORTE;2023-02-03;6517.10733333
NE;NORDESTE;2023-02-03;11986.13787500
S;SUL;2023-02-03;14658.44108333
SE;SUDESTE;2023-02-03;44320.44812500
N;NORTE;2023-02-04;6235.58595833
NE;NORDESTE;2023-02-04;11530.50354167
S;SUL;2023-02-04;11707.59358333
SE;SUDESTE;2023-02-04;40809.01345833
N;NORTE;2023-02-05;5855.59579167
NE;NORDESTE;2023-02-05;11256.86529167
S;SUL;2023-02-05;10174.87441667
SE;SUDESTE;2023-02-05;37862.19741667
N;NORTE;2023-02-06;6459.23183333
NE;NORDESTE;2023-02-06;12077.92262500
S;SUL;2023-02-06;14085.89962500
SE;SUDESTE;2023-02-06;43894.65616667
N;NORTE;2023-02-07;6429.65604167
NE;NORDESTE;2023-02-07;11966.79212500
S;SUL;2023-02-07;14930.52370833
SE;SUDESTE;2023-02-07;44093.82450000
N;NORTE;2023-02-08;6425.13658333
NE;NORDESTE;2023-02-08;11949.96158333
S;SUL;2023-02-08;15314.20720833
SE;SUDESTE;2023-02-08;43903.00462500
N;NORTE;2023-02-09;6554.72275000
NE;NORDESTE;2023-02-09;12270.23454167
S;SUL;2023-02-09;15499.08520833
SE;SUDESTE;2023-02-09;44394.62470833
N;NORTE;2023-02-10;6649.77191667
NE;NORDESTE;2023-02-10;12329.42070833
S;SUL;2023-02-10;15296.64483333
SE;SUDESTE;2023-02-10;44638.84783333
N;NORTE;2023-02-11;6318.97150000
NE;NORDESTE;2023-02-11;11709.16441667
S;SUL;2023-02-11;12904.76675000
SE;SUDESTE;2023-02-11;40558.25266667
N;NORTE;2023-02-12;6106.55212500
NE;NORDESTE;2023-02-12;10912.91754167
S;SUL;2023-02-12;11632.39154167
SE;SUDESTE;2023-02-12;37128.52304167
N;NORTE;2023-02-13;6732.71245833
NE;NORDESTE;2023-02-13;12259.77391667
S;SUL;2023-02-13;15428.83604167
SE;SUDESTE;2023-02-13;43538.46820833
N;NORTE;2023-02-14;6747.09483333
NE;NORDESTE;2023-02-14;12405.95091667
S;SUL;2023-02-14;15922.07120833
SE;SUDESTE;2023-02-14;45120.92891667
N;NORTE;2023-02-15;6791.43420833
NE;NORDESTE;2023-02-15;12602.26258333
S;SUL;2023-02-15;14647.50425000
SE;SUDESTE;2023-02-15;45879.40412500
N;NORTE;2023-02-16;6677.77020833
NE;NORDESTE;2023-02-16;12679.46941667
S;SUL;2023-02-16;14428.67845833
SE;SUDESTE;2023-02-16;45660.12670833
N;NORTE;2023-02-17;6706.58020833
NE;NORDESTE;2023-02-17;12384.37358333
S;SUL;2023-02-17;13308.38320833
SE;SUDESTE;2023-02-17;45656.72691667
N;NORTE;2023-02-18;6339.66879167
NE;NORDESTE;2023-02-18;11484.82812500
S;SUL;2023-02-18;9799.65804167
SE;SUDESTE;2023-02-18;40271.77404167
N;NORTE;2023-02-19;5980.73870833
NE;NORDESTE;2023-02-19;10699.20900000
S;SUL;2023-02-19;8673.64466667
SE;SUDESTE;2023-02-19;35523.88162500
N;NORTE;2023-02-20;6025.56941667
NE;NORDESTE;2023-02-20;10902.38537500
S;SUL;2023-02-20;11576.17962500
SE;SUDESTE;2023-02-20;38635.65629167
N;NORTE;2023-02-21;5986.96070833
NE;NORDESTE;2023-02-21;10777.92512500
S;SUL;2023-02-21;11328.00245833
SE;SUDESTE;2023-02-21;39006.98304167
N;NORTE;2023-02-22;6368.99237500
NE;NORDESTE;2023-02-22;11645.76579167
S;SUL;2023-02-22;12580.84245833
SE;SUDESTE;2023-02-22;41906.70037500
N;NORTE;2023-02-23;6758.15979167
NE;NORDESTE;2023-02-23;12219.40387500
S;SUL;2023-02-23;13146.50629167
SE;SUDESTE;2023-02-23;43828.38454167
N;NORTE;2023-02-24;6792.74445833
NE;NORDESTE;2023-02-24;12160.33887500
S;SUL;2023-02-24;12726.85875000
SE;SUDESTE;2023-02-24;43839.55329167
N;NORTE;2023-02-25;6456.64370833
NE;NORDESTE;2023-02-25;11434.60787500
S;SUL;2023-02-25;11035.62733333
SE;SUDESTE;2023-02-25;40896.23145833
N;NORTE;2023-02-26;6093.26845833
NE;NORDESTE;2023-02-26;10670.77216667
S;SUL;2023-02-26;9914.62829167
SE;SUDESTE;2023-02-26;38595.17895833
N;NORTE;2023-02-27;6704.74562500
NE;NORDESTE;2023-02-27;11926.55500000
S;SUL;2023-02-27;12771.63208333
SE;SUDESTE;2023-02-27;45260.87695833
N;NORTE;2023-02-28;6745.41750000
NE;NORDESTE;2023-02-28;12373.99091667
S;SUL;2023-02-28;13330.27354167
SE;SUDESTE;2023-02-28;45164.76375000
N;NORTE;2023-03-01;6820.50816667
NE;NORDESTE;2023-03-01;12374.43145833
S;SUL;2023-03-01;13529.27237545
SE;SUDESTE;2023-03-01;44393.60866667
N;NORTE;2023-03-02;6889.34575000
NE;NORDESTE;2023-03-02;11933.48075000
S;SUL;2023-03-02;14316.97725000
SE;SUDESTE;2023-03-02;45038.40050000
N;NORTE;2023-03-03;6877.60979167
NE;NORDESTE;2023-03-03;11899.42812500
S;SUL;2023-03-03;14190.31925000
SE;SUDESTE;2023-03-03;45811.87291667
N;NORTE;2023-03-04;6512.24620833
NE;NORDESTE;2023-03-04;11359.44441667
S;SUL;2023-03-04;11814.62508333
SE;SUDESTE;2023-03-04;42221.58033333
N;NORTE;2023-03-05;6303.12879167
NE;NORDESTE;2023-03-05;10543.98483333
S;SUL;2023-03-05;10014.41645833
SE;SUDESTE;2023-03-05;38506.44687500
N;NORTE;2023-03-06;6794.12954167
NE;NORDESTE;2023-03-06;11614.69133333
S;SUL;2023-03-06;13139.39504167
SE;SUDESTE;2023-03-06;44351.55879167
N;NORTE;2023-03-07;6656.45029167
NE;NORDESTE;2023-03-07;11983.07270833
S;SUL;2023-03-07;13669.24783333
SE;SUDESTE;2023-03-07;45158.12095833
N;NORTE;2023-03-08;6712.50916667
NE;NORDESTE;2023-03-08;11904.43058333
S;SUL;2023-03-08;14352.80525000
SE;SUDESTE;2023-03-08;45092.17300000
N;NORTE;2023-03-09;6785.44929167
NE;NORDESTE;2023-03-09;12117.77529167
S;SUL;2023-03-09;14535.96350000
SE;SUDESTE;2023-03-09;45456.10054167
N;NORTE;2023-03-10;6757.37808333
NE;NORDESTE;2023-03-10;12133.13800000
S;SUL;2023-03-10;14083.90258333
SE;SUDESTE;2023-03-10;45181.42533333
N;NORTE;2023-03-11;6518.42445833
NE;NORDESTE;2023-03-11;11398.56241667
S;SUL;2023-03-11;12141.18837500
SE;SUDESTE;2023-03-11;40815.38004167
N;NORTE;2023-03-12;6171.27987500
NE;NORDESTE;2023-03-12;10665.20500000
S;SUL;2023-03-12;10739.32662500
SE;SUDESTE;2023-03-12;36794.28079167
N;NORTE;2023-03-13;6576.50525000
NE;NORDESTE;2023-03-13;11996.64891667
S;SUL;2023-03-13;14011.71341667
SE;SUDESTE;2023-03-13;42951.18616667
N;NORTE;2023-03-14;6531.37075000
NE;NORDESTE;2023-03-14;12182.71937500
S;SUL;2023-03-14;14453.75591667
SE;SUDESTE;2023-03-14;43485.32683333
N;NORTE;2023-03-15;6543.67833333
NE;NORDESTE;2023-03-15;12081.09187500
S;SUL;2023-03-15;14456.81041667
SE;SUDESTE;2023-03-15;43473.26770833
N;NORTE;2023-03-16;6603.79337500
NE;NORDESTE;2023-03-16;12039.54533333
S;SUL;2023-03-16;14512.34154167
SE;SUDESTE;2023-03-16;43219.22537500
N;NORTE;2023-03-17;6623.28108333
NE;NORDESTE;2023-03-17;12091.94575000
S;SUL;2023-03-17;14586.47866667
SE;SUDESTE;2023-03-17;42937.68925000
N;NORTE;2023-03-18;6287.34670833
NE;NORDESTE;2023-03-18;11524.80300000
S;SUL;2023-03-18;12509.25983333
SE;SUDESTE;2023-03-18;39870.51537500
N;NORTE;2023-03-19;6209.23516667
NE;NORDESTE;2023-03-19;10368.93075000
S;SUL;2023-03-19;11163.26650000
SE;SUDESTE;2023-03-19;36848.10729167
N;NORTE;2023-03-20;6670.80504167
NE;NORDESTE;2023-03-20;11732.09350000
S;SUL;2023-03-20;14866.34895833
SE;SUDESTE;2023-03-20;43750.82858333
N;NORTE;2023-03-21;6823.92162500
NE;NORDESTE;2023-03-21;11639.32133333
S;SUL;2023-03-21;15174.09395833
SE;SUDESTE;2023-03-21;44559.76520833
N;NORTE;2023-03-22;6882.41116667
NE;NORDESTE;2023-03-22;11221.27812500
S;SUL;2023-03-22;15147.32179167
SE;SUDESTE;2023-03-22;44560.95025000
N;NORTE;2023-03-23;6801.31587500
NE;NORDESTE;2023-03-23;11344.11941667
S;SUL;2023-03-23;15182.53345833
SE;SUDESTE;2023-03-23;44551.99645833
N;NORTE;2023-03-24;6823.12770833
NE;NORDESTE;2023-03-24;11450.61354167
S;SUL;2023-03-24;15017.82925000
SE;SUDESTE;2023-03-24;45292.26737500
N;NORTE;2023-03-25;6534.18616667
NE;NORDESTE;2023-03-25;10827.31970833
S;SUL;2023-03-25;12485.54187500
SE;SUDESTE;2023-03-25;41608.29620833
N;NORTE;2023-03-26;6203.07516667
NE;NORDESTE;2023-03-26;10041.15687500
S;SUL;2023-03-26;10427.56279167
SE;SUDESTE;2023-03-26;38709.68091667
N;NORTE;2023-03-27;6845.12500000
NE;NORDESTE;2023-03-27;11050.52245833
S;SUL;2023-03-27;13034.68204167
SE;SUDESTE;2023-03-27;44556.72541667
N;NORTE;2023-03-28;6802.56879167
NE;NORDESTE;2023-03-28;11136.33675000
S;SUL;2023-03-28;13524.93379167
SE;SUDESTE;2023-03-28;44452.33208333
N;NORTE;2023-03-29;6814.45879167
NE;NORDESTE;2023-03-29;11276.81333333
S;SUL;2023-03-29;14594.96025000
SE;SUDESTE;2023-03-29;45060.10495833
N;NORTE;2023-03-30;6969.75158333
NE;NORDESTE;2023-03-30;11084.23312500
S;SUL;2023-03-30;13918.11916667
SE;SUDESTE;2023-03-30;45195.88566667
N;NORTE;2023-03-31;6850.75254167
NE;NORDESTE;2023-03-31;11108.88491667
S;SUL;2023-03-31;13673.12379167
SE;SUDESTE;2023-03-31;44824.15891667
N;NORTE;2023-04-01;6514.73704167
NE;NORDESTE;2023-04-01;10674.44083333
S;SUL;2023-04-01;10956.58408333
SE;SUDESTE;2023-04-01;41038.31900000
N;NORTE;2023-04-02;6283.17687500
NE;NORDESTE;2023-04-02;10433.05254167
S;SUL;2023-04-02;9358.65437500
SE;SUDESTE;2023-04-02;36427.79633333
N;NORTE;2023-04-03;6854.69920833
NE;NORDESTE;2023-04-03;11605.47537500
S;SUL;2023-04-03;12603.44783333
SE;SUDESTE;2023-04-03;41671.38716667
N;NORTE;2023-04-04;7004.09316667
NE;NORDESTE;2023-04-04;11406.06375000
S;SUL;2023-04-04;13707.28016667
SE;SUDESTE;2023-04-04;43102.96504167
N;NORTE;2023-04-05;6906.04325000
NE;NORDESTE;2023-04-05;11356.70237500
S;SUL;2023-04-05;13747.48025000
SE;SUDESTE;2023-04-05;43308.65304167
N;NORTE;2023-04-06;
NE;NORDESTE;2023-04-06;
S;SUL;2023-04-06;
SE;SUDESTE;2023-04-06;
